CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U99999DL1987PTC201394,UNISOL INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-03-1987,Delhi,5000000.0,3499200.0,99999,Extraterritorial organizations and bodies,"C-79, GROUND FLOORNEW FRUIT MARKET,AZADPUR  ",ROC DELHI,jitender@djgroup.co.in,31-03-2019,31-03-2019
U99999DL1988PLC031466,GUJRAL AIRCON LTD.   ,ACTV,Public,Company limited by Shares,Non-govt company,02-05-1988,Delhi,5000000.0,4970000.0,99999,Extraterritorial organizations and bodies,59- DKAMLA NAGAR  ,ROC DELHI,jsgdelhi@gmail.com,31-03-2019,31-03-2019
U99999DL1988PLC031763,SHEELA CONSTRUCTIONS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,19-05-1988,Delhi,3000000.0,3000000.0,99999,Extraterritorial organizations and bodies,D-51AHAUZ KHAS   ,ROC DELHI,accounts@dynastyresort.com,31-03-2019,31-03-2019
U99999DL1988PLC032421,CORETEC HYGIENE PRODUCTS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,12-07-1988,Delhi,5000000.0,535070.0,99999,Extraterritorial organizations and bodies,"A-10,GREEN PARKNEW DELHI.  ",ROC DELHI,nmohan@tecnovaglobal.com,31-03-2019,31-03-2019
U99999DL1988PTC032396,SARAN AUTOMOBILES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-07-1988,Delhi,1000000.0,1000000.0,99999,Extraterritorial organizations and bodies,"2228-29/16, IST FLOOR, SAREEN BHAWANHARDHIAN SINGH ROAD, KAROL BAGH  ",ROC DELHI,chetn006@gmail.com,31-03-2018,31-03-2018
U99999DL1989PLC037013,BHARAT POWER TECH LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,20-07-1989,Delhi,5000000.0,992320.0,99999,Extraterritorial organizations and bodies,"E-21/A, Lower Ground Floor-1Kalkaji  ",ROC DELHI,aktiwari.india@gmail.com,31-03-2019,31-03-2019
U99999DL1989PLC037142,PLAZA CABLE INDUSTRIES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,28-07-1989,Delhi,105000000.0,104724100.0,99999,Extraterritorial organizations and bodies,K-444BURARI  ,ROC DELHI,by140758@gmail.com,31-03-2019,31-03-2018
U99999DL1990PTC039998,STELLAR MEDIA PRODUCTION PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-04-1990,Delhi,1000000.0,302000.0,99999,Extraterritorial organizations and bodies,"WB-52, 3rd Floor, Gali No-1, WB-Block, Shakarpur   ",ROC DELHI,joshi.joshirk@gmail.com,31-03-2019,31-03-2019
U99999DL1990PTC041294,VETRAVATI RESORTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-08-1990,Delhi,25000000.0,100000.0,99999,Extraterritorial organizations and bodies,"B-8/26, VASANT VIHAR   ",ROC DELHI,companylaw@sgcservices.com,31-03-2019,31-03-2019
U99999DL1991PLC043461,OZONE PHARMACEUTICALS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,13-03-1991,Delhi,50000000.0,46530360.0,99999,Extraterritorial organizations and bodies,"1, LSC, BLOCK,A-3, JANAKPURI  ",ROC DELHI,cs.opl@ozonegp.com,31-03-2019,31-03-2019
U99999DL1991PLC045495,ANU COLONISERS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,28-08-1991,Delhi,9500000.0,9378170.0,99999,Extraterritorial organizations and bodies,"1/7521-A, STREET NO. 13AEAST GAURAKH PARK  ",ROC DELHI,anucolonisers@gmail.com,31-03-2019,31-03-2019
U99999DL1991PTC043633,AKANSHA GROWTH FUND PVT.LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,22-03-1991,Delhi,220000000.0,216325200.0,99999,Extraterritorial organizations and bodies,"8161,  53/27, RAMJAS ROAD,   ",ROC DELHI,akansha.growth@gmail.com,31-03-2019,31-03-2019
U99999DL1991PTC043913,RNM FINSTOCKS PVT.LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,12-04-1991,Delhi,5248000.0,5248000.0,99999,Extraterritorial organizations and bodies,201/204 JAWALA MANSION 4/2ASFA ALI ROAD NEW DELHI   ,ROC DELHI,rajnishrnm@gmail.com,31-03-2016,31-03-2016
U99999DL1991PTC045612,HERO DOMESTIC APPLIANCES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-09-1991,Delhi,5000000.0,2995700.0,99999,Extraterritorial organizations and bodies,"Office no 308,Pearls Best Heights-II, C9Netaji Subhash Place,Pitampura  ",ROC DELHI,mphpsingh@gmail.com,31-03-2019,31-03-2019
U99999DL1991PTC046648,RAMESHCHAND INVESTMENTS AND LEASINGPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,05-12-1991,Delhi,4000000.0,2604500.0,99999,Extraterritorial organizations and bodies,"69/2A,NAJAFGARH ROAD,NEW DELHI-110015.   ",ROC DELHI,accounts@malhotracables.com,31-03-2018,31-03-2018
U99999DL1991PTC046662,CALCOM CREDIT AND HOLDINGS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,06-12-1991,Delhi,2000000.0,2000000.0,99999,Extraterritorial organizations and bodies,"FLAT NO J-62, T-1 (3RD FLOOR), SWAPNA APTDILSHAD COLONY, SHAHDARA  ",ROC DELHI,askrganeshca@gmail.com,31-03-2018,31-03-2018
U99999DL1991PTC046675,DAYA BUILDERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-12-1991,Delhi,1000000.0,950000.0,99999,Extraterritorial organizations and bodies,"1027, WEST END MALL, 11TH FLOORDISTRICT CENTRE, JANAK PURI  ",ROC DELHI,dayabuilders.1991@gmail.com,31-03-2018,31-03-2018
U99999DL1991PTC046688,SATLUJ CREDIT AND HOLDINGS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,09-12-1991,Delhi,2000000.0,2000000.0,99999,Extraterritorial organizations and bodies,"FLAT NO J-62, T-1 (3RD FLOOR), SWAPNA APTDILSHAD COLONY, SHAHDARA  ",ROC DELHI,askrganeshca@gmail.com,31-03-2018,31-03-2018
U99999DL1992PLC050852,INTERACTIVITY BROADBAND TELEVISIONLIMITED  ,ACTV,Public,Company limited by Shares,Non-govt company,04-11-1992,Delhi,75000000.0,75000000.0,99999,Extraterritorial organizations and bodies,"202 NILGIRI,9 BARAKHAMBA ROAD, CONNAUGHT PLACE  ",ROC DELHI,ibt.india@gmail.com,31-03-2019,31-03-2019
U99999DL1992PTC048250,HARYANA COIR PRODUCTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,31-03-1992,Delhi,3500000.0,1140000.0,99999,Extraterritorial organizations and bodies,B-12PANCHSHEEL VIHAR KHIRKI EXTENSION  ,ROC DELHI,hcpl.hcpl@gmail.com,31-03-2019,31-03-2019
U99999DL1992PTC048326,SAB SONS CREDIT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,13-04-1992,Delhi,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"Flat No. 111, First Floor U.S. Complex120, Mathura Road  ",ROC DELHI,accounts@sabsons.com,31-03-2019,31-03-2019
U99999DL1992PTC049026,A & T MEDICAL EQUIPMENT CO. PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,02-06-1992,Delhi,200000.0,167000.0,99999,Extraterritorial organizations and bodies,112-A SHIVLOK HOUSE-I KARAMPURA COMMERCIALCOMPLEX NEW DELHI  ,ROC DELHI,antmedicals@gmail.com,31-03-2019,31-03-2019
U99999DL1992PTC049222,PANCHAM HOTELS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-06-1992,Delhi,4000000.0,2013000.0,99999,Extraterritorial organizations and bodies,"FLAT NO.244,SWARUP SADAN,CGHS LTD.,PLOT NO-4,SECTOR-13,DWARKA  ",ROC DELHI,chaharpiyush52@gmail.com,31-03-2019,31-03-2019
U99999DL1992PTC049301,SUPERPROMPT CREDITS AND COMMERCE PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,24-06-1992,Delhi,3000000.0,2745000.0,99999,Extraterritorial organizations and bodies,"769/777, D.B. GUPTA ROAD,KAROL BAGH,  ",ROC DELHI,singhisurendra75@gmail.com,31-03-2019,31-03-2019
U99999DL1992PTC049561,M.J. COMMERCIAL PVT. LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,15-07-1992,Delhi,800000.0,700000.0,99999,Extraterritorial organizations and bodies,"H. NO. 49, TAGORE GALIBABARPUR, SHAHDARA  ",ROC DELHI,muskanpackaging@yahoo.co.in,31-03-2019,31-03-2019
U99999DL1992PTC049858,PRAMA MARKETING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-08-1992,Delhi,500000.0,205000.0,99999,Extraterritorial organizations and bodies,A-13AGREEN PARK MAIN  ,ROC DELHI,pramaindia@hotmail.com,31-03-2019,31-03-2019
U99999DL1992PTC050848,TECHNOCRAFTS INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-11-1992,Delhi,5000000.0,301890.0,99999,Extraterritorial organizations and bodies,"487/27School road, Near Peeragarhi Chowk  ",ROC DELHI,technocraftsinks@gmail.com,31-03-2019,31-03-2019
U99999DL1992PTC050890,NITASHA GAURAV EXPORTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-11-1992,Delhi,4600000.0,2500000.0,99999,Extraterritorial organizations and bodies,"J-4,RAJOURI GARDEN,  ",ROC DELHI,smartprofessional2319@gmail.com,31-03-2019,31-03-2019
U99999DL1992PTC051152,BMW AUTOS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-11-1992,Delhi,2500000.0,1005750.0,99999,Extraterritorial organizations and bodies,"CD - 242, SECOND FLOORVISHAKHA ENCLAVE, PITAMPURA  ",ROC DELHI,manojgarg241@gmail.com,31-03-2019,31-03-2019
U99999DL1993PLC053094,UNICORP OVERSEAS LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,16-04-1993,Delhi,20000000.0,10085000.0,99999,Extraterritorial organizations and bodies,"319/1, Street No 4,Govindpuri, Kalkaji  ",ROC DELHI,imran@vvkale.com,31-03-2016,31-03-2016
U99999DL1993PLC054095,PLAZA LAMP AND TUBES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,17-06-1993,Delhi,5000000.0,1033200.0,99999,Extraterritorial organizations and bodies,K-444Burari  ,ROC DELHI,akbatla72@yahoo.co.in,31-03-2019,31-03-2018
U99999DL1993PLC054135,ICICI PRUDENTIAL ASSET MANAGEMENTCOMPANY LIMITED  ,ACTV,Public,Company limited by Shares,Non-govt company,22-06-1993,Delhi,250000000.0,176520900.0,99999,Extraterritorial organizations and bodies,"12th Floor,  Narain Manzil23, Barakhamba Road,  ",ROC DELHI,rakesh_shetty@icicipruamc.com,31-03-2019,31-03-2019
U99999DL1993PTC056535,DOLLY FARMS AND RESORTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-12-1993,Delhi,3000000.0,2000000.0,99999,Extraterritorial organizations and bodies,"439, VILLAGE SAHOORPUR,P.O. FATEHPUR BERI  ",ROC DELHI,club@eclub.co.in,31-03-2019,31-03-2019
U99999DL1993PTC162999,VIBGYOR INVESTORS & DEVELOPERS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,01-04-1993,Delhi,20000000.0,15000000.0,99999,Extraterritorial organizations and bodies,"404, PRAGATI DEEP,LAXMI NAGAR DISTRICT CENTRE,  ",ROC DELHI,ravisonu1990@yahoo.co.in,31-03-2019,31-03-2019
U99999DL1993PTC170545,MANSOON HOLDINGS (INDIA) PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,18-03-1993,Delhi,10000000.0,9980200.0,99999,Extraterritorial organizations and bodies,"L-6, KAILASH COLONY   ",ROC DELHI,mansoonholdings@gmail.com,31-03-2019,31-03-2019
U99999DL1994PLC059396,ESHA SECURITIES LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,03-06-1994,Delhi,22500000.0,20627000.0,99999,Extraterritorial organizations and bodies,"S-1, 59/17,BAHUBALI APARTMENT, NEW ROHTAK ROAD,  ",ROC DELHI,rkked@yahoo.co.in,31-03-2013,31-03-2013
U99999DL1994PLC211384,GREEN MARK INFRA LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,19-08-1994,Delhi,90000000.0,83039200.0,99999,Extraterritorial organizations and bodies,"UNIT NO-104, PLOT NO-31, FIRST FLOOR , ROAD NO-44VIKAS TOWER, RANI BAGH , PITAMPURA  ",ROC DELHI,bobugupta4@gmail.com,31-03-2019,31-03-2019
U99999DL1994PTC060239,VARSHCO CHEM PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-07-1994,Delhi,35000000.0,25608000.0,99999,Extraterritorial organizations and bodies,"30,CHANDNI PARKKRISHNA NAGAR  ",ROC DELHI,vcplgzb@yahoo.com,31-03-2019,31-03-2019
U99999DL1994PTC061503,S.G. MARCONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-09-1994,Delhi,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"4-CAYODHYA ENCLAVE, SECTOR-13, ROHINI  ",ROC DELHI,tyagi46@yahoo.com,31-03-2019,31-03-2019
U99999DL1994PTC173122,MAD ENTERTAINMENT NETWORK LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,19-12-1994,Delhi,10000000.0,10000000.0,99999,Extraterritorial organizations and bodies,"112-115, First Floor, Tolstoy House15 & 17, Tolstoy Marg  ",ROC DELHI,madentertainment1994@yahoo.com,31-03-2019,31-03-2019
U99999DL1995PLC073106,TOSHALI RESORTS INTERNATIONAL LIMITED   ,ACTV,Public,Company limited by Shares,Non-govt company,11-10-1995,Delhi,10000000.0,500000.0,99999,Extraterritorial organizations and bodies,"302-A,ARUNACHAL BUILDING17,BARAKHAMBA ROAD  ",ROC DELHI,legal@toshali.org,31-03-2018,31-03-2019
U99999DL1995PTC066869,MAXWELL TEXTILE PVT. LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,28-03-1995,Delhi,3500000.0,3266360.0,99999,Extraterritorial organizations and bodies,18 MAUSAM VIHAR   ,ROC DELHI,info@forgedbrass.com,31-03-2019,31-03-2019
U99999DL1995PTC070696,GULATI (INDIA) SALES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-07-1995,Delhi,20000000.0,11200000.0,99999,Extraterritorial organizations and bodies,"H. No. 13/3 of (13/2-13/3), Left Portion,1st FloorPH-2, BLK-Y, Loha Mandi, Naraina Industrial Area  ",ROC DELHI,gulatiindia_gulatigroup@yahoo.com,31-03-2018,31-03-2018
U99999DL1995PTC071570,RAJSHREE PROPERTIES PVT. LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,09-08-1995,Delhi,200000.0,100000.0,99999,Extraterritorial organizations and bodies,"115/1, 2ND FLOORSIDHI VINAYAK APPARTMENT, DESU ROAD, MEHRAULI  ",ROC DELHI,kgs.2016@rediffmail.com,31-03-2017,31-03-2017
U99999DL1995PTC072104,ARDEE FINVEST PVT. LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,04-09-1995,Delhi,270000000.0,240302000.0,99999,Extraterritorial organizations and bodies,28 BARAKHAMBA ROADNEW DELHI   ,ROC DELHI,ardee@airtelmail.in,31-03-2019,31-03-2019
U99999DL1995PTC160340,SUKHRAJ VINIMAY PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,27-01-1995,Delhi,2800000.0,2596500.0,99999,Extraterritorial organizations and bodies,"F-10/22Sector 15, Rohini  ",ROC DELHI,vka001@gmail.com,31-03-2019,31-03-2019
U99999DL1996NPL098456,INDIAN DIRECT SELLING ASSOCIATION   ,ACTV,Private,Company Limited by Guarantee,Non-govt company,01-11-1996,Delhi,0.0,0.0,99999,Extraterritorial organizations and bodies,"504 MANISHA BUILDING75-76, NEHRU PLACE  ",ROC DELHI,abhishek@idsa.co.in,31-03-2019,31-03-2019
U99999DL1996PTC075066,PRUDENTIAL PROMOTERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-01-1996,Delhi,5500000.0,5100300.0,99999,Extraterritorial organizations and bodies,S-126BGREATER KAILASH-I  ,ROC DELHI,lkored@yahoo.co.in,31-03-2019,31-03-2019
U99999DL1996PTC075452,ASMA ECOFIB PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-01-1996,Delhi,10000000.0,162300.0,99999,Extraterritorial organizations and bodies,"House No. 7, Basement Floor BLK-APShalimar Bagh, Land Mark Near DT Mall & P  ",ROC DELHI,accounts@ecoste.in,31-03-2019,31-03-2019
U99999DL1996PTC075927,EMBEE MARKETING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-02-1996,Delhi,500000.0,307400.0,99999,Extraterritorial organizations and bodies,09 / 23-24 NEHRU ENCLAVE (EAST) KALKAJI EXT.   ,ROC DELHI,rebeston@yahoo.com,31-03-2019,31-03-2019
U99999DL1996PTC076277,J.C.R. MARBLES PVT LTD.   ,ACTV,Private,Company limited by Shares,Non-govt company,13-02-1996,Delhi,1000000.0,1000000.0,99999,Extraterritorial organizations and bodies,"D-185/1A, Okhla Industrial AreaPhase-I  ",ROC DELHI,jcrmarbles@gmail.com,31-03-2019,31-03-2019
U99999DL1996PTC076283,AMRIT BUILDWELL PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,13-02-1996,Delhi,200000.0,193720.0,99999,Extraterritorial organizations and bodies,"29, UPPER GROUND FLOOR,WEST AVENUE ROAD, WEST PUNJABI BAGH,  ",ROC DELHI,roby.narula@gmail.com,31-03-2019,31-03-2019
U99999DL1996PTC077352,SKANMIT SYSTEM PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-03-1996,Delhi,5000000.0,2281500.0,99999,Extraterritorial organizations and bodies,"B-111, MANU APARTMENTSMAYUR VIHAR, PHASE-I  ",ROC DELHI,gshiriram@yahoo.com,31-03-2019,31-03-2019
U99999DL1996PTC077741,LEGEND REALTORS PRIVATE LIMITED.   ,ACTV,Private,Company limited by Shares,Non-govt company,02-04-1996,Delhi,3000000.0,2800020.0,99999,Extraterritorial organizations and bodies,185SURAJ MAL VIHAR  ,ROC DELHI,virendraassociate@gmail.com,31-03-2019,31-03-2019
U99999DL1996PTC078368,FARIDABAD INDUSTRIAL AUTOMATION COMPANYPVT. LTD.  ,ACTV,Private,Company limited by Shares,Non-govt company,22-04-1996,Delhi,200000.0,128000.0,99999,Extraterritorial organizations and bodies,C-10/5 VASANT VIHAR   ,ROC DELHI,fiacpl@sify.com,31-03-2019,31-03-2019
U99999DL1996PTC078867,SANJIVAN ANUSANDHAN PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-05-1996,Delhi,3000000.0,2512000.0,99999,Extraterritorial organizations and bodies,AD-52APITAMPURA  ,ROC DELHI,jainrakeshca@yahoo.com,31-03-2019,31-03-2019
U99999DL1996PTC078971,PROFESSIONAL BIOTECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,17-05-1996,Delhi,5000000.0,4887500.0,99999,Extraterritorial organizations and bodies,"G-167 B,G BLOCKHARI NAGAR  ",ROC DELHI,accounts@professionalbiotech.com,31-03-2019,31-03-2019
U99999DL1996PTC080375,DIGVIJAY FINANCIAL SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,15-07-1996,Delhi,5000000.0,100000.0,99999,Extraterritorial organizations and bodies,"6-B, RAJ NARAIN MARGCIVIL LINES  ",ROC DELHI,rkgulati0038@gmail.com,31-03-2019,31-03-2019
U99999DL1996PTC082811,PRESTIGE VENTURES (INDIA) PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,23-10-1996,Delhi,1000000.0,600000.0,99999,Extraterritorial organizations and bodies,"307 HEMKUNT CHAMBERS 89,NEHRU PLACE   ",ROC DELHI,CAAKASSO@GMAIL.COM,31-03-2019,31-03-2019
U99999DL1996PTC084085,SANTA CLAUS TOYS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-12-1996,Delhi,2500000.0,2327790.0,99999,Extraterritorial organizations and bodies,8/49RAMESH NAGAR  ,ROC DELHI,ashwani.associates@gmail.com,31-03-2019,31-03-2019
U99999DL1996PTC233608,MEENA AGRITECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-08-1996,Delhi,1000000.0,500000.0,99999,Extraterritorial organizations and bodies,"Bindra farmF-4, Ansal villa, Near CSKM public School,satbari,  ",ROC DELHI,cs@bibaindia.com,31-03-2019,31-03-2019
U99999DL1996PTC328403,DIA VIKAS CAPITAL PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,13-02-1996,Delhi,250000000.0,163356620.0,99999,Extraterritorial organizations and bodies,"PLOT NO. 19, BLOCK-B, POCKET-4SECTOR-23, DWARKA  ",ROC DELHI,COMPANYSECRETARY@DIA-VIKAS.ORG,31-03-2019,31-03-2019
U99999DL1997PTC084227,SUNRISE PRECISIONS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,03-01-1997,Delhi,3000000.0,2947140.0,99999,Extraterritorial organizations and bodies,"GROUND FLOOR, LEFT SIDE ROOM, TALKO WALI GALINEAR PURANA KUWA, CHAUHAN MOHALLA, RANGPURI  ",ROC DELHI,sunriseprec@yahoo.in,31-03-2014,31-03-2013
U99999DL1997PTC084237,AKRON EQUITY CONSULTANTS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,03-01-1997,Delhi,100000.0,100000.0,99999,Extraterritorial organizations and bodies,F-249  GROUND FLOORNEW RAJINDER NAGAR  ,ROC DELHI,bssa@bssa83.com,31-03-2019,31-03-2019
U99999DL1997PTC084258,RAJA INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-01-1997,Delhi,8000000.0,7495020.0,99999,Extraterritorial organizations and bodies,"C-50, KRISHNA NAGARSHAHDRA  ",ROC DELHI,gauravsinghal@vgnc.in,31-03-2019,31-03-2019
U99999DL1997PTC084330,EMSONIQ TELECOM AND TECHNOLOGY PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,08-01-1997,Delhi,300000.0,300000.0,99999,Extraterritorial organizations and bodies,"S-282, F/F GALI NO-3GREATER KAILASH I  ",ROC DELHI,emsoniq@yahoo.com,31-03-2019,31-03-2019
U99999DL1997PTC084828,NDPS COMPUTERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,31-01-1997,Delhi,5000000.0,5000000.0,99999,Extraterritorial organizations and bodies,"2045, Gali No. 6Chuna Mandi, Paharganj  ",ROC DELHI,md@ndps.net.in,31-03-2019,31-03-2019
U99999DL1997PTC084864,KASHYAP MOTORS INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-02-1997,Delhi,50000000.0,49680000.0,99999,Extraterritorial organizations and bodies,20 INDUSTRIAL ESTATEOKHLA  ,ROC DELHI,ramesh.chanana@kasyapenterprises.com,31-03-2016,31-03-2016
U99999DL1997PTC084956,SUNSHINE CORPORATE SERVICES PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,06-02-1997,Delhi,1100000.0,1090000.0,99999,Extraterritorial organizations and bodies,"Cottage 13A, Flat No. G5West Patel Nagar  ",ROC DELHI,genius.international@rediffmail.com,31-03-2019,31-03-2019
U99999DL1997PTC086450,MRS ENGINEERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-04-1997,Delhi,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"23, BHAI VEER SINGH MARG,GOLE MARKET  ",ROC DELHI,rocdak@gmail.com,31-03-2019,31-03-2019
U99999DL1997PTC086736,RITEX OVERSEAS PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,17-04-1997,Delhi,5000000.0,2200080.0,99999,Extraterritorial organizations and bodies,PLOT NO C-19  SMA CO OPERATIVEINDUSTRIAL ESTATE GT KARNAL ROAD  ,ROC DELHI,accounts.ritexoverseas@gmail.com,31-03-2019,31-03-2019
U99999DL1997PTC086774,BEARING TRADERS (INDIA) PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-04-1997,Delhi,2000000.0,5000000.0,99999,Extraterritorial organizations and bodies,"5225, 1ST FLOOR, MAIN G.B. ROAD, ABOVE ICICI BANKSHARDHA NAND MARG  ",ROC DELHI,btipldel@hotmail.com,31-03-2019,31-03-2019
U99999DL1997PTC086908,NEELKANTH EXPORTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-04-1997,Delhi,3500000.0,3448500.0,99999,Extraterritorial organizations and bodies,"35A, FIRST FLOORSHAHPUR JAT,  ",ROC DELHI,neelkanthexportspvtltd@gmail.com,31-03-2019,31-03-2019
U99999DL1997PTC087635,INDEPENDENT NEWS SERVICE PVTLTD   ,ACTV,Private,Company limited by Shares,Non-govt company,02-06-1997,Delhi,810000000.0,747549810.0,99999,Extraterritorial organizations and bodies,"B-39,OKHLA INDUSTRIAL AREA PHASE - I  ",ROC DELHI,97inspl@gmail.com,31-03-2019,31-03-2019
U99999DL1997PTC087651,SU TECH SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-06-1997,Delhi,100000.0,100000.0,99999,Extraterritorial organizations and bodies,"G-15,EAST OFR KAILASH,N.DELHI-65.   ",ROC DELHI,kishansmehta@gmail.com,31-03-2019,31-03-2019
U99999DL1997PTC087716,KAP AUTOMOBILES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-06-1997,Delhi,5000000.0,4717920.0,99999,Extraterritorial organizations and bodies,Flat no. 460Sanskriti ApartmentsSector-19B DWARKA  ,ROC DELHI,kapautogzb@yahoo.com,31-03-2019,31-03-2019
U99999DL1997PTC087741,ADVENTURES (INDIA) PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-06-1997,Delhi,10000000.0,3500000.0,99999,Extraterritorial organizations and bodies,"M-56, First Floor, M-Block MarketGreater Kailash Part-II  ",ROC DELHI,marketing@adventuresltd.in,31-03-2019,31-03-2019
U99999DL1997PTC087957,SECURITON INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-06-1997,Delhi,1000000.0,101620.0,99999,Extraterritorial organizations and bodies,"E-7, Sh. No.-8, GF, Madhu Vihar,I.P. Ext. Bhawani Mandir,  ",ROC DELHI,naveen.chopra@adasoftindia.com,31-03-2019,31-03-2019
U99999DL1997PTC088289,RAJSEE INTERNATIONAL PVT LTD   ,ACTV,Private,Company limited by Shares,Non-govt company,02-07-1997,Delhi,34500000.0,34470200.0,99999,Extraterritorial organizations and bodies,"D-335, GANESH NAGAR COMPLEXPANDAV NAGAR  ",ROC DELHI,cacs.professionalservices@gmail.com,31-03-2019,31-03-2019
